id,group
0,0
128,0
2,0
14,0
31,0
32,0
33,0
46,0
181,0
59,0
63,0
66,0
69,0
71,0
72,0
202,0
86,0
87,0
102,0
232,0
110,0
238,0
239,0
119,0
120,0
121,0
123,0
127,0
1,1
257,1
129,1
258,1
5,1
6,1
263,1
131,1
259,1
10,1
260,1
134,1
261,1
262,1
137,1
138,1
139,1
140,1
19,1
141,1
142,1
143,1
16,1
144,1
145,1
146,1
147,1
148,1
22,1
149,1
150,1
151,1
26,1
153,1
154,1
30,1
37,1
157,1
158,1
43,1
48,1
55,1
58,1
155,1
67,1
68,1
70,1
205,1
206,1
79,1
208,1
213,1
214,1
215,1
156,1
89,1
103,1
233,1
235,1
107,1
108,1
111,1
242,1
116,1
124,1
152,1
255,1
3,2
132,2
8,2
136,2
12,2
15,2
21,2
29,2
159,2
34,2
36,2
39,2
40,2
167,2
169,2
168,2
44,2
45,2
170,2
171,2
172,2
177,2
50,2
178,2
179,2
52,2
180,2
54,2
183,2
56,2
184,2
186,2
187,2
61,2
188,2
189,2
190,2
191,2
201,2
73,2
74,2
204,2
207,2
83,2
84,2
211,2
216,2
91,2
98,2
101,2
229,2
122,2
104,2
106,2
237,2
109,2
240,2
241,2
175,2
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,2
176,2
4,3
7,3
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,3
17,3
273,3
13,3
18,3
25,3
27,3
28,3
135,3
41,3
173,3
174,3
51,3
53,3
182,3
185,3
62,3
64,3
65,3
198,3
200,3
203,3
77,3
78,3
80,3
82,3
210,3
220,3
85,3
88,3
217,3
218,3
90,3
92,3
93,3
94,3
95,3
96,3
97,3
219,3
221,3
222,3
223,3
224,3
225,3
226,3
227,3
228,3
230,3
231,3
234,3
113,3
117,3
251,3
252,3
253,3
254,3
256,4
130,4
9,4
20,4
24,4
160,4
35,4
42,4
47,4
49,4
60,4
192,4
193,4
194,4
75,4
209,4
81,4
212,4
114,4
125,4
126,4
133,5
11,5
23,5
161,5
162,5
163,5
164,5
165,5
38,5
166,5
57,5
195,5
196,5
197,5
199,5
76,5
99,5
100,5
105,5
236,5
112,5
115,5
118,5
